"IdComment","IdStr","UserName","Message","MessageTranslation","Retweets","Hashtags","Mentions","TweetBoundingBox","TweetCoordinates","TweetPlaceName","UserLocation","UserFollowers","UserFriends","CreatedAt","Source","Votes","Positive","Negative","Neutral","Reason","VeryPositive","VeryNegative","evaluator1","evaluator2","evaluator3","OpinionLexicon","Afinn","SentiStrength","SoCal","Umigon","Vader","SenticNet","Brazilian_LIWC","Brazilian_OpLexicon","Brazilian_SentiLex","Truth","Prediction"
708411143937597952,708411143937597952,"davishowC","tem um brother lá na ufpa que ta vendendo um cds interessantes",,0,"[]","[]","NULL","NULL","NULL","Belém, Brasil",458,779,"2016-03-11 21:55:53","twitter_ufpa",3,3,0,0,"NULL",0,0,251044251911114,942667965849460,805075212894032,1,1,1,1,1,1,0,1,1,0,1,
712639005469314944,712639005469314944,"lulzs","@WesleySafadao CADÊ AQUELE ABRAÇO PRA @Curitiba_PMC",,0,"[]","[{u'id': 62823322, u'indices': [0, 14], u'id_str': u'62823322', u'screen_name': u'WesleySafadao', u'name': u'Wesley Safadxe3o'}, {u'id': 68693419, u'indices': [38, 51], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","NULL","NULL","NULL","kombi",354,244,"2016-03-23 13:55:53","twitter_curitiba",3,2,0,1,"NULL",0,0,805075212894032,1038636122878195,10207501925518728,0,1,1,0,0,1,0.015429,1,0,0,1,
711530152103124992,711530152103124992,"Minie313","eu voto sempre em #joaoreitor. Por uma UFPA melhor.",,0,"[{u'indices': [18, 29], u'text': u'joaoreitor'}]","[]","NULL","NULL","NULL","NULL",0,1,"2016-03-20 12:29:42","twitter_ufpa",3,3,0,0,"NULL",0,0,,,,0,0,0,0,1,1,0.029125,1,1,0,1,
711933613714046976,711933613714046976,"Gueras80","@Curitiba_PMC Obrigado pela dica com as fezes dos animais. Regulamente o UBER e respeite a vontade da população sem corporativismo.",,0,"[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","NULL","NULL","NULL","NULL",24,177,"2016-03-21 15:12:55","twitter_curitiba",6,5,0,1,"NULL",0,0,10207501925518728,481008992083404,1022105604535423,1,1,1,1,1,1,0.044478,1,-1,-1,1,
707317838126653056,707317838126653056,"_thayseazevedo","boa tarde só pra quem ta de ferias da ufpa, tipo eu.",,0,"[]","[]","NULL","NULL","NULL","Ananindeua, Pará",540,287,"2016-03-08 21:31:28","twitter_ufpa",4,2,0,1,"NULL",1,0,10207501925518728,951289924984798,1198194900225799,1,1,1,1,1,1,0.1591,-1,0,1,1,
712703056391986944,712703056391986944,"denisetoniolo","Prefeitura reduz despesa com remuneração de cargos comissionados - Prefeitura de Curitiba https://t.co/tP2vU5TGrt",,0,"[]","[]","NULL","NULL","NULL","Curitiba",1102,1716,"2016-03-23 18:10:24","twitter_curitiba",3,2,0,1,"NULL",0,0,10207501925518728,481008992083404,1054803564576568,0,0,0,-1,0,0,0,-1,0,0,1,
707629938090905984,707629938090905984,"raquagirl","@beadelusional mas agora nortista tem bônus de 10% na ufpa",,0,"[]","[{u'id': 2772775570, u'indices': [0, 14], u'id_str': u'2772775570', u'screen_name': u'beadelusional', u'name': u'Beaw'}]","NULL","NULL","NULL","Metropolis",617,377,"2016-03-09 18:11:39","twitter_ufpa",3,3,0,0,"NULL",0,0,805075212894032,251044251911114,942667965849460,1,0,0,1,0,1,0.043667,0,0,0,1,
708781593444408960,708781593444408960,"rosangelasarges","@leiomaurobonna @joaoreitorufpa @UFPA_Oficial  Para uma UFPA aberta, coletiva e cidadã! #joaoreitor",,0,"[{u'indices': [88, 99], u'text': u'joaoreitor'}]","[{u'id': 178061411, u'indices': [0, 15], u'id_str': u'178061411', u'screen_name': u'leiomaurobonna', u'name': u'Mauro Bonna'}, {u'id': 700450391465582592, u'indices': [16, 31], u'id_str': u'700450391465582592', u'screen_name': u'joaoreitorufpa', u'name': u'Joxe3o Reitor - UFPA'}, {u'id': 82086393, u'indices': [32, 45], u'id_str': u'82086393', u'screen_name': u'UFPA_Oficial', u'name': u'UFPA'}]","NULL","NULL","NULL","NULL",4,3,"2016-03-12 22:27:55","twitter_ufpa",4,3,0,0,"NULL",1,0,10207501925518728,951289924984798,,0,0,1,0,0,0,0.007167,1,1,1,1,
712773522230096000,712773522230096000,"AneilsonBeta","#missãoBETA Prefeitura de Curitiba prorroga prazo para negociar dívidas de impostos: Término do Mutirão de Con... https://t.co/WzYhjJ52KP",,0,"[{u'indices': [0, 11], u'text': u'missxe3oBETA'}]","[]","NULL","NULL","NULL","Vitória da Conquista, Bahia",5178,3025,"2016-03-23 22:50:25","twitter_curitiba",3,2,0,1,"NULL",0,0,,,,0,0,-1,0,0,0,-0.025522,0,0,-1,1,
708336611239587968,708336611239587968,"AlderomCosta","Partiu Aula #ufpa  #estatística https://t.co/FfV1tOHExx",,0,"[{u'indices': [12, 17], u'text': u'ufpa'}, {u'indices': [19, 31], u'text': u'estatxedstica'}]","[]","NULL","NULL","NULL","NULL",139,770,"2016-03-11 16:59:43","twitter_ufpa",3,3,0,0,"NULL",0,0,805075212894032,251044251911114,942667965849460,0,0,0,0,0,0,0,-1,0,0,1,
